merchantname,category
de bebeks,Makanan & Minuman
bebeks empuk rifio,Makanan & Minuman
bebeks galak's,Makanan & Minuman
salero jumbo - padang restaurant,Makanan & Minuman
subway menara cakrawala,Makanan & Minuman
"janji jiwa & jiwa toast, sarinah",Makanan & Minuman
mcdonald's raden saleh cikini,Makanan & Minuman
mcdonald’s tebet,Makanan & Minuman
mcdonald's kebon jeruk,Makanan & Minuman
mcdonald's,Makanan & Minuman
mcdonald's senayan trade center,Makanan & Minuman
mcdonald's kramat raya,Makanan & Minuman
mcdonald's stasiun gambir,Makanan & Minuman
mcdonald's cideng,Makanan & Minuman
mcdonald's hayam wuruk,Makanan & Minuman
mcdonald's hasanudin blok m,Makanan & Minuman
mcdonald's kelapa gading,Makanan & Minuman
mcdonald's palmerah,Makanan & Minuman
mcdonald's sarinah thamrin,Makanan & Minuman
mcdonald's salemba raya,Makanan & Minuman
mcdonald’s tambak manggarai,Makanan & Minuman
mcdonald's otista raya,Makanan & Minuman
babi baseput,Makanan & Minuman
nike,Belanja
mcdonald's pantai ancol,Makanan & Minuman
mcdonald's,Makanan & Minuman
mcdonald's,Makanan & Minuman
pizza hut delivery - phd indonesia,Makanan & Minuman
pizza hut delivery - phd indonesia,Makanan & Minuman
popeyes cempaka putih,Makanan & Minuman
starbucks menara thamrin,Makanan & Minuman
han's bakery and cake,Makanan & Minuman
hans,Makanan & Minuman
kfc itc bsd city,Makanan & Minuman
nike factory store bekasi,Belanja
spaced,Hiburan
nike pondok indah 1,Belanja
mcdonald's meruya,Makanan & Minuman
mcdonald's,Makanan & Minuman
㈱phd,Makanan & Minuman
pizza hut delivery - phd indonesia,Makanan & Minuman
hans kitchen,Makanan & Minuman
janji jiwa & jiwa toast cilegon center mall,Makanan & Minuman
nike young athletes,Belanja
mcdonald's kiosk slipi jaya,Makanan & Minuman
kentucky fried chicken - harco pasar baru,Makanan & Minuman
babi guling ko made,Makanan & Minuman
bpk kdkd (babi panggang karo),Makanan & Minuman
sate babi johan,Makanan & Minuman
warung babi tong,Makanan & Minuman
sir babi ol pok!,Makanan & Minuman
"eat pork love (babi panggang, samcan goreng, sate babi)",Makanan & Minuman
sate babi bawah ruko,Makanan & Minuman
sate babi krekot,Makanan & Minuman
tempayan babi asap,Makanan & Minuman
iga babi ajung,Makanan & Minuman
babi tjoy,Makanan & Minuman
mcdonald's,Makanan & Minuman
pizza hut delivery - phd indonesia,Makanan & Minuman
kopi janji jiwa mall of serang,Makanan & Minuman
hans mode,Belanja
nike grand indonesia,Belanja
